sentences|sentiments
khả_năng truyền_đạt chưa gây được sự thu_hút|0
thầy dạy hay và tốt|2
bị áp_lực|0
khả_năng truyền_đạt kiến_thức cao thường hay gọi lên bảng để kiểm_tra năng_lực sinh_viên|2
thầy luôn quan_tâm giúp_đỡ sinh_viên|2
lên lớp đúng giờ|2
nhiệt_tình phương_pháp giảng_dạy hiệu_quả cách truyền_đạt dễ hiểu dễ tiếp_thu|2
em xin có ý_kiến doubledot giảng_viên lý_thuyết dạy chậm hơn so với giảng_viên thực_hành rất nhiều|0
lý_thuyết quá nhiều không tập_trung chủ_yếu|0
cần phải có liên_hệ thực_tiễn trong quá_trình giảng_dạy để tạo sự ham_thích cho người học|0
khi sinh_viên đề_nghị thầy mở lại cách ra deadline thì thầy bảo không được và cứ giữ nguyên thể_thức như vậy|0
cần đi sâu vào thực_tế khi dạy còn chung_chung khó hiểu được|0
thầy dạy dễ hiểu sát với thực_tế|2
giảng bài cảm_thấy hơi buồn_ngủ|0
dạy chậm hơn tiết_thực_hành|0
hài_lòng hoàn_toàn|2
cảm_ơn|1
thầy dạy hay và dễ hiểu|2
giảng_viên dạy nhiệt_tình tâm_huyết dễ hiểu|2
phòng lab còn chạy visual studio 2008 không biết viết code kiểu gì lên đó nữa đây cũng là cái ảnh_hưởng tới kết_quả thi thực_hành của nhiều sinh_viên quen sử_dụng với chuẩn visual studio 2015|0
phòng học còn nóng|0
thầy cho bài tập_luyện_tập rất nhiều thích_hợp cho việc ôn_tập lại kiến_thức|2
phân_chia thời_gian báo_cáo chưa hợp_lý|0
giảng_viên nhiệt_tình vui_vẻ luôn giúp_đỡ cho sinh_viên hoàn_thành tốt nhất bài báo_cáo|2
gây khó_khăn khi tìm thông_tin làm bài tập và nộp bài_tập trên moodle|0
nâng_cấp máy_tính|1
thầy rất chú_tâm|2
thầy cho bài_tập để làm mà không cho đáp_án để sinh_viên biết được mình giải đúng hay sai|0
nên bọn em khó có_thể gặp được giảng_viên|0
nội_dung giảng_dạy rất là lý_thuyết và thiếu phần bài_tập để ứng_dụng và nhớ bài hơn|0
thầy giảng rất dễ hiểu tâm_huyết với buổi học|2
mặc_dù môn này là em học lần hai nhưng kết_quả đang tồi_tệ hơn không_thể theo kịp|0
giảng bài đầy_đủ|2
các hoạt_động trong tiết học đa_dạng không gò_bó cứng_nhắc gây nhàm_chán mà giúp cho sinh_viên cảm_thấy thoải_mái và sáng_tạo trong học_tập|2
nhưng nhiều phần em không biết học rồi có áp_dụng hay không|0
thông_báo những buổi seminar và báo_cáo phải chính_xác để dễ_dàng cho cả sinh_viên lẫn giáo_viên|0
thầy hơi nghiêm_khắc nhưng dạy dễ hiểu|2
thầy rất tận_tình nhưng hay vắng|0
giảng_viên có trình_độ chuyên_môn tốt hướng_dẫn chi_tiết dễ hiểu|2
cho làm nhiều bài tập hữu_ích giảng cặn_kẽ|2
tạo hứng_thú trong học_tập đơn_giản hiệu_quả|2
thầy_giáo dạy nhiệt_tình giúp tiếp_cận kiến_thức tốt|2
hình_thức thực_hành 2 dường_như không có tác_dụng với sinh_viên|0
giảng_viên dạy nhiệt_tình vui_tính hài_hước dạy tốt dễ_nghe dễ hiểu|2
tăng hiệu_suất máy_tính|1
thầy rất nhiệt_tình và tận_tâm|2
tốt nhất nên cho ví_dụ tổng_quan|0
có nhiều hoạt_động giúp sinh_viên nâng cao kỹ_năng|2
thân_thiện hòa_đồng giảng_dạy có kỹ_lưỡng|2
thầy rất có tâm trong việc tạo áp_lực giúp sinh_viên học nhiều hơn và thực_hành nhiều hơn|2
thầy chỉ nên sử_dụng facebook làm kênh thông_tin song_hành chứ không nên như hiện_nay có rất nhiều thông_báo thầy chỉ thông_báo trên facebook cá_nhân mà không hề thông_báo trên website môn_học|0
giờ giảng_dạy của thầy đa_số là thầy đọc giọng nói thầy đều_đều làm đa_số mọi người rất buồn_ngủ|0
mặc_dù môn này đã được nghe thầy nói được dạy lần đầu cho khóa 3|1
thầy dạy không để_ý xem sinh_viên có nhận_thức được hay không chỉ dạy cho hết bài rôi về|0
rất hay khuyến_khích tinh_thần học_tập|2
là một môn_học về kỹ_năng cu_thể là kỹ_năng mềm nên có nhiều hơn những bài_học kết_hợp các kỹ_năng hỗ_trợ khác khi học môn này như kỹ_năng giao_tiếp nguyên_lý và kinh_nghiệm thuyết_trình cách đọc tài_liệu ngoại_ngữ chuyên_ngành các tra_cứu thông_tin hiệu_quả|0
lắng_nghe ý_kiến của sinh_viên trong quá_trình học|2
giảng_viên rất nhiệt_tình giảng_dạy rất sẵn_lòng giải_đáp thắc_mắc của sinh_viên|2
cô vui_vẻ hay quan_tâm sinh_viên|2
rất quan_tâm học_viên|2
thầy rất nhiệt_tình em rất hài_lòng về cách giảng_dạy cũng như các tài_liệu nội_dung thầy cung_cấp|2
thầy vui_tính cởi_mở|2
giảng_viên hướng_dẫn rõ_ràng đầy_đủ|2
bài tập quá khó hiểu quá lan_man chỉ có một_vài bài là hợp_lý nhưng cũng khó làm|0
thầy cung_cấp tài_liệu học_tập rất đầy_đủ chi_tiết|2
môn_học hay và hấp_dẫn|2
mong cô dạy thêm về ngữ_pháp|0
kỳ sau em có học một môn của chị nữa đó nhớ giúp em qua môn nha chị|2
giảng_viên nên nhiệt_tình hơn|0
cô dạy nhiệt_tình dễ hiểu|2
nếu cho được điểm 11 thì em cũng cho luôn|2
ngoài kiến_thức lý_thuyết tụi em đã học thầy còn cung_cấp thêm cho chúng_em thêm nhiều kiến_thức mới nữa|2
nhìn chung thầy dạy tốt|2
thầy dạy tâm_huyết giỏi truyền_đạt được cảm_hứng học_tập và nghiên_cứu cho sinh_viên|2
lớp lý_thuyết chủ_yếu dạy về các công_nghệ mới những sáng_tạo trong công_nghệ trên thế_giới cũng như trong lĩnh_vực di_động rất ít kiến_thức về lập_trình để tôi có_thể hiểu về lập_trình trên thiết_bị di_động cũng như việc làm bài tập ở lớp thực_hành và đồ_án môn_học|0
giảng_viên cần cung_cấp cho học_viên tài_liệu lý_thuyết rõ_ràng|2
ngoài kiến_thức anh văn được cải_thiện hiệu_quả sinh_viên còn học được rất nhiều kỹ_năng mềm khác|2
giảng_viên chấm điểm công_bằng chính_xác|2
giảng_viên tích_cực tiếp_thu ý_kiến sinh_viên về kiến_thức và cách giảng_dạy mong thầy thành_công|2
thân_thiện tận_tâm|2
giảng_dạy dễ hiểu giờ học vui|2
tốn thời_gian|0
có sự tương_tác tốt rèn được kỹ_năng nghe nói tiếng anh|2
thầy dạy hay hướng_dẫn cụ_thể|2
đề_nghị những bài khó giảng_viên cần giảng kỹ dễ hiểu cho cả lớp|0
thầy giảng_viên ít viết chương_trình trên lớp thường copy code rồi demo cho sinh_viên|0
cô nên dạy nội_dung khó hơn cho lớp sau|0
sự nhiệt_tình quan_tâm lắng_nghe|2
lúc đầu vào học thì chưa tập_trung nội_dung học mất thời_gian nhưng về sau đã tập_trung việc học hơn|0
cô_giáo tận_tình|2
thầy rất nhiệt_tình hướng_dẫn thực_hành kỹ càng|2
lập_trình hướng đối_tượng nói_riêng và tất_cả các môn liên_quan đến lập_trình nói_chung theo em nên được cập_nhật tài_liệu thường_xuyên đặc_biệt là các phần_mềm trong các phòng lab để tránh tình_trạng các tài_liệu và phần_mềm hỗ_trợ học_tập lỗi_thời và gây khó_khăn cho việc giảng_dạy và học_tập|0
thầy nói nghe không rõ truyền_đạt khó hiểu không tạo hứng_thú cho sinh_viên|0
giảng_dạy tốt đưa ra nhiều vấn_đề cho sinh_viên tham_khảo|2
cung_cấp nhiều tài_liệu tham_khảo|2
giảng_viên nhiệt_tình giảng_dạy dễ hiểu thu_hút|2
khó tiếp_thu được kiến_thức cô truyền_đạt|0
cô rất nhiệt_tình với lớp|2
nên cho sinh_viên làm nhiều bài_tập từ đơn_giản đến phức_tạp để hiểu hết môn_học|0
có chút không hiểu bài|0
cần trang_bị máy_nghe tốt hơn có nhiều máy_nghe đã xuống_cấp|0
giáo_viên giảng_dạy rất nhiệt_tình bài_giảng dễ hiểu|2
không nêu thông_tin rõ_ràng thời_gian báo_cáo|0
cô dung dậy nhiệt_tình dễ hiểu|2
nhiệt_tình dễ hiểu|2
những bài_tập về nhà_khó em hy_vọng thầy có bài sửa mẫu chi_tiết cho cả lớp giúp chúng em rút kinh_nghiệm ạ|0
hiền dễ_thương cười tươi|2
cô rất nhiệt_tình giảng cụ_thể|2
tiết dạy sinh_động lôi_cuốn|2
dạy không nhiệt_tình tài_liệu ít|0
thầy rất nhiệt_tình kiến_thức uyên_bác chuyên_sâu|2
cách_thức giảng_dạy chưa phù_hợp lắm với sinh_viên có học_lực chưa tốt|0
thầy dạy nhiệt_tình rất dễ hiểu|2
cô là giáo_viên có tâm và nhiệt_huyết nhất em từng gặp|2
sinh_viên hiểu bài rất dễ_dàng chỗ nào không hiểu là giảng_viên tận_tâm giảng lại ngay thường_xuyên tạo cuộc tranh_luận trong giờ học để giúp sinh_viên tăng_cường tranh_luận trao_đổi giúp bài_học trở_nên phong_phú và dễ hiểu hơn|2
cô cho rất nhiều bài tập trên hệ_thống moodle giảng_dạy rất lý_thú vui_vẻ|2
phân_chia nhóm hợp_lý theo sát quá_trình thực_hành của sinh_viên|2
giảng_viên dạy rất hay nhiệt_tình|2
giáo_viên tận_tình dạy hay dễ tiếp_thu|2
rất mong thầy sẽ tiếp_tục giảng_dạy các khoá sau|2
cô cho tan lớp hơi trễ do cô mê dạy quá|0
thầy tận_tâm nhiệt_tình chia_sẻ kiến_thức kỹ_năng|2
chưa thu_hút được sinh_viên|0
em cảm_thấy trên lớp_học cô chỉ chú_trọng vô listening là chính mà bỏ_qua các phần khác grammar chỉ dạy được có một bài không có hoạt_động speaking|0
cần trang_bị phòng thực_hành phù_hợp với đặc_thù môn_học|0
kiến_thức học luôn được liên_hệ với thực_tế|2
cải_thiện trang_thiết_bị|0
giảng_viên tận_tâm hướng_dẫn cách sinh_viên học_tập một_cách chủ_động|2
giảng_viên nhiệt_tình chỉ_dẫn tận_tình chi_tiết bài_học đưa ra các ví_dụ cụ_thể chi_tiết_thực_tế vào bài_học giúp sinh_viên hiểu bài hơn|2
sinh viền cần có tài_liệu của các bài thực_hành trước để nghiên_cứu việc lên thực_hành mới được cung_cấp tài_liệu buổi thực_hành chỉ mang lại điểm_số không giúp sinh_viên có được kiến_thức|0
giáo_viên hướng_dẫn tận_tình cung_cấp đầy_đủ kiến_thức căn_bản bộ_môn|2
do phòng_học khá đông và máy chiếu không rõ nên việc giảng_viên sử_dụng các đoạn code trong ide để minh_họa gây khó_khăn cho các sinh_viên ngồi xa và hoặc mắt kém|0
thầy <name> dạy giỏi từ xưa đến giờ|2
nghiêm_túc trong quá_trình giảng_dạy|2
cô dạy rất nhiệt_tình tận_tâm và cách dạy rất dễ hiểu|2
giáo_viên giảng bài hay|2
thầy rất nhiệt_tình giảng chi_tiết|2
truyền_đạt kiến_thức rất tốt và tạo hứng_thú cho học_sinh|2
bình_thường với giảng_viên|1
cô giảng tương_đối dễ hiểu có nhiều bài_tập minh_họa áp_dụng sau khi học lý_thuyết|2
cho rất nhiều ví_dụ và bài_tập mà thông_qua đó làm sinh_viên dễ tiếp_thu bài|2
cải_thiện máy chiếu phòng thực_hành|0
giáo_viên vui_tính|2
cần tăng số buổi thực_hành lên vì quá ít|0
cần đề_cương môn_học rõ_ràng|0
giảng_viên nhiệt_tình trong quá_trình giảng_dạy và hướng_dẫn sinh_viên|2
dù đã xem trước bài khi lên_lớp nhưng nó quá xa_lạ đối_với em|0
thầy rất nhiệt_tình giảng dễ hiểu có rất nhiều trò_chơi trong giờ học giúp sinh_viên hiểu củng_cố lại bài và không bị nhàm_chán ai là nghìn phú rung chuông vàng dot|2
không có file hướng_dẫn_giải bài_tập chỉ có hướng_dẫn_giải các bài cơ_bản trên lớp|0
nhiều lúc hỏi_bài sợ thầy la|0
cô rất nhiệt_tình trong quá_trình giảng_dạy luôn khuyên_nhủ sinh_viên học bài và làm bài tập|2
giải_đáp các thắc_mắc của sinh_viên hướng_dẫn theo_dõi và giám_sát sinh_viên trong lúc thực_hành|2
giảng_dạy tận_tâm nhiệt_tình|2
nhà_trường cần cài_đặt các chương_trình học mới nhất để sinh_viên làm_quen|0
giáo_viên nhiệt_tình tận_tâm|2
cách trình_bày nội_dung của môn_học chưa cập_nhật mới|0
dạy không lan_man mà cần tập_trung những vấn_đề quan_trọng hệ_thống kiến_thức cho sinh_viên nắm kỹ và làm bài tập nhuần_nhuyễn hơn cho bài_tập nhưng cần phải sửa bài|0
ít bài_tập hay|0
mong học_kỳ sau sẽ sớm có phòng_thí_nghiệm cho môn này|0
hi_vọng cô có_thể giảng_dạy lý_thuyết xen_kẽ với bài_tập trong mỗi buổi học để giúp sinh_viên hiểu rõ vấn_đề cần nắm hơn|0
giảng_viên luôn bận họp cả khóa học chỉ học được vài buổi|0
giảng_viên vui_vẻ cởi_mở đặc_biệt nhiệt_tình khi sinh_viên hỏi bài|2
nên tăng thêm nhiều tiết_thực_hành 1 tuần|0
cô hiểu rõ trình_độ của từng học_sinh để có phương_pháp bài_tập phù_hợp với từng học_sinh|2
giảng thao_thao bất_tuyệt nói những thuật_ngữ khó hiểu nhưng không giải_thích cặn_kẽ|0
em nghĩ thầy nên vận_động nhiều hơn đứng trước bục giảng hoặc đi qua đi_lại|0
hết|1
dạy thêm giờ khi sinh_viên chưa hoàn_thành xong bài|2
nhiệt_tình giúp_đỡ với sinh_viên|2
quá nhiều trò|0
tạo những deadline mà sinh_viên không_thể sắp_xếp được thời_gian|0
phòng thực_hành quá xuống_cấp|0
thầy dạy truyền_đạt tư_tưởng tốt dễ hiểu|2
cô dễ_thương giải_đáp thắc_mắc với cung_cấp tài_liệu đầy_đủ cho mỗi tuần học|2
dạy rất tốt về ubuntu|2
giảng_viên thường_xuyên quan_tâm tới sinh_viên|2
dạy dễ hiểu tận_tình giúp sinh_viên tiếp_thu tốt các mục_đích giảng_dạy|2
thầy dạy nhiệt_tình cung_cấp nhiều tài_liệu hữu_ích|2
cô tận_tâm và nhiệt_tình giúp_đỡ em|2
nội_dung slide doubledot em thấy slide này làm tài_liệu đọc ôn lại khi đã hiểu rồi thì phù_hợp hơn tài_liệu giảng|0
giáo_viên nhiệt_tình thân_thiện|2
đồ_án nên giới_hạn chủ_đề|0
cần cải_thiện cơ_sở_vật_chất phù_hợp với môn_học anh văn hơn nữa|0
thầy rất tốt với sinh_viên|2
kiểm_tra liên_tục bài_tập về nhà nhiều hơn|0
sách cung_cấp rất nhiều bài_tập và kiến_thức nhưng do số tiết không đủ nên giáo_viên đã bỏ_qua nhiều phần nhất là phần nói và viết|0
hướng_dẫn tận_tình cho từng học_sinh|2
cô giảng bài dễ hiểu nhiệt_tình|2
giảng_viên không_chỉ cung_cấp những kiến_thức như trong đề_cương môn_học mà_còn cung_cấp những kiến_thức sâu_rộng về thực_tiễn cũng như nâng cao nhằm tăng_cường_độ hiểu_biết cho học_sinh|2
nên sửa_đổi nội_dung môn_học hợp_lý hơn|0
cô giảng bài giọng rất nhỏ và khó nghe dù đã có micro|0
giáo_viên cần sử_dụng thơi gian dạy hợp_lý hơn|0
đề thi quá dài rất nhiều phần xử_lý giống nhau nhưng lại phân ra nhiều câu như_vậy không có tính_chất phân_loại năng_lực sinh_viên mà là một cuộc đua xem ai làm nhanh hơn|0
không có gì để hài_lòng|0
có những khoảng thời_gian trống trong giờ học làm kéo_dài buổi học|0
nội_dung thi không đúng giảng_dạy|0
thầy nhìn hiền hiền|2
đi kèm theo đó là khả_năng truyền_đạt cực_kỳ tệ giờ học khá chán|0
tuy_nhiên kiến_thức về giải bài_tập là chưa đủ để thi|0
vui_tính hòa đồng_nhiệt_tình chỉ bảo tận_tình|2
cô dạy diễu hiểu ạ|2
giảng_viên chưa nhiệt_tình lắm|0
thầy có cho bài tập|1
em vinh_dự được là học_trò của thầy|2
thêm giờ thực_hành|1
thầy căn_chỉnh thời_gian dạy không tốt|0
cần thêm nhiều video demo hướng_dẫn thực_hành các quy_trình thì chất_lượng học môn này sẽ cao hơn|0
bài_giảng tạo cảm_giác hứng_thú và tiếp_thu bài nhanh|2
tăng hoạt_động speaking|0
nâng cao chất_lượng cơ_sở_vật_chất của trường|0
thầy dạy rất kỹ về kiên_thức rất tận_tình trong công_tác giảng_dạy|2
thầy dạy kỹ và dễ hiểu khuyến_khích khả_năng tự học của sinh_viên không_khí lớp_học vui_vẻ|2
dạy còn khó hiểu|0
nhiệt_tình cởi_mở|2
dễ hiểu rõ_ràng|2
phòng máy quá yếu không thực_sự tốt vì máy_tính còn yếu cấu_hình không được cao|0
thầy nhắm đến người giỏi không nhắm đến người dở|0
tài_liệu phục_vụ cho môn_học chưa được nhà_trường hỗ_trợ|0
giảng hay dễ hiểu nhiệt_huyết|2
nhiệt_tình trả_lời thắc_mắc của sinh_viên|2
phòng học cần sạch_sẽ hơn bàn_ghế rất bụi máy chiếu tất_nhiên nói nhìn được thì vẫn nhìn được nhưng như thế là vẫn mờ cần sáng hơn cho các bạn ngồi phía dưới thấy nữa|0
đảm_bảo về mặt giờ_giấc|1
cách giảng_dạy thấm_thía vào học_sinh|2
cách tiếp_cận nội_dung chưa tốt|0
tăng_cường kỹ_năng làm_việc nhóm|0
nhiệt_tình giảng dễ hiểu đúng giờ|2
thầy có khả_năng truyền_thụ tốt giúp sinh_viên có_thể dễ_dàng hình_dung được các thuật_toán|2
tăng_cường buổi học|0
truyền_đạt dễ hiểu|2
thầy có giới_thiệu một_vài buổi giới_thiệu nghề_nghiệp như uit career|2
dạy hay tận_tâm với sinh viết kiến_thức truyền_đạt rất tốt|2
slide giảng_dạy rất chán không cập_nhật từ năm 2009 tới giờ vẫn sài|0
em đề_xuất nên bỏ một_số phần giảng lại lý_thuyết ra để có thời_gian làm bài tập nhiều hơn|0
phòng thực_hành thường_xuyên không mở đúng giờ hy_vọng giáo_viên mở_cửa đúng giờ|0
nói lan_man|0
khi nghỉ học thầy đã thông_báo nghỉ khoa cần cập nhập kịp_thời thông_tin nghỉ trên web khoa|0
thời_khóa_biểu cách nộp bài vào những tuần nghỉ ôn thi giữa kỳ không hợp_lý|0
dạy không nhiệt_tình|0
thầy đã chọn cách chúng_em hoạt_động trong môn này thật là với em thật là không thích và cảm_thấy không đúng không phải chỉ mình em thấy vậy còn có những bạn khác cũng như vậy chúng_em đã có nói_chuyện với nhau|0
giảng_viên nhiệt_tình phương_pháp giảng_dạy hay|2
điểm quá_trình chưa đánh_giá đúng|0
khả_năng truyền_đạt của thầy không được tốt lắm|0
50 giành cho kiến_thức chi_tiết một loại công_nghệ dotnet doubledot có_thể giống đồ_án cuối kỳ hiện_tại|1
cô dạy hay học không nhất_thiết phải trong sách_vở|2
cô cho thực_hành rất nhiều|2
nhiệt_tình hòa đồng cùng sinh_viên|2
truyền_đạt kiến_thức rất dễ hiểu|2
giáo_viên đảm_bảo giờ_giấc|2
dạy cứng_nhắc không liên_hệ thực_tế nhiều|0
giảng_viên giảng_dạy rất nhiệt_tình|2
có nguồn lý_thuyết đầy_đủ và có nhiều bài_tập thực_hành mẫu nên rất dễ học|2
thầy dạy rất hay chỉ chỉ bảo tận_tình|2
rất tốt và nhiệt_tình|2
thầy dạy kỹ càng|2
hệ_thống slide bài_giảng chi_tiết rõ_ràng|2
kiến_thức này liệu có chắc là cơ_bản và được cập_nhật phù_hợp với dân it hiện_nay chưa|0
giảng_viên cần đảm_bảo giờ học trên lớp hiệu_quả hơn|0
có_thể việc chép bài trên bảng xuống vở là một phương_pháp_học hay nhưng chữ thầy khá nhỏ và hơi xấu colonsmilesmile|0
giảng_viên tận_tâm giảng_dạy có chất_lượng|2
giảng_dạy dễ hiểu vui_vẻ|2
giảng bài hơi khó hiểu|0
giảng_viên dạy nhiệt_tình vui_tính|2
thầy trang_bị cho chúng_em những kiến_thức khá hữu_ích sau khi ra trường|2
việc thắc_mắc thầy điều giải_đáp|2
giảng hơi khó hiểu đó nha|0
nên giảng chậm lại|0
thời_gian làm_việc trên lớp không hiệu_quả giảng_viên thường cho nghỉ học|0
giảng_viên không xác_nhận đánh_giá về bài_tập mà sinh_viên nộp|0
giảng_viên giảng_dạy hay nói lan_man không đúng trọng_tâm môn_học|0
hy_vọng thầy giảng song_ngữ để chúng em hiểu bài hơn ạ|0
thầy dạy thực_hành không hiệu_quả hầu_như các buổi thực_hành thầy cho bài làm theo tuần sinh_viên tự tìm_hiểu|0
cô_giáo nhiệt_tình trong việc giảng_dạy và tương_tác với sinh_viên|2
tổ_chức học bù cho các buổi nghỉ để cung_cấp đầy_đủ kiến_thức|0
thầy nên hướng_dẫn nhiều và tận_tình hơn cho sinh_viên về đồ_án môn_học|0
giảng_viên tận_tình giúp từng sinh_viên tiếp_cận với bài_học thân_thiện với mọi người|2
chấm bài và sửa nhiều bài_tập hơn|0
nhiều bài_tập kiểm_tra năng_lực qua từng phần|2
dạy tốt và hiệu_quả|2
thầy rất hay đưa những ví_dụ rất cụ_thể về công_nghệ tiến hiện có rất hay thú_vị|2
mong phòng đào_tạo phản_hồi lại với thầy để thầy dạy tốt hơn|0
cô dạy hay hấp_dẫn|2
nói ngoài_lề hơi nhiều|0
dạy nhanh|0
giảng_dạy dễ hiểu ví_dụ trực_quan|2
bởi_vì trong một_số trường_hợp sinh_viên làm bài thi thì máy_tính của trường không đáp_ứng đủ nhu_cầu của sinh_viên phải đủ nhanh|0
dặn_dò sinh_viên cần ôn nội_dung nào cho buổi học kế_tiếp|0
nhiệt_tình tâm_huyết giảng_dạy|2
cô cho hơi nhiều bài tập|0
anh khá tận_tâm với sinh_viên rất muốn học các môn sau với anh colonsmile|2
môn khá khó hiểu nên thầy_cô phải tạo những ý_tưởng để sinh_viên dễ hiểu bài hơn|0
lớp_học rất thoải_mái thầy rất nhiệt_tình vui_tính|2
vui_vẻ nhiệt_tình chủ_động giúp_đỡ mọi khó_khăn của sinh_viên|2
cô dạy lý_thuyết hơi nhanh|0
thầy cô dạy rất tốt|2
giảng_viên nhiệt_tình đối_với sinh_viên|2
giảng_viên nghỉ dạy quá nhiều mỗi lần nghỉ chỉ báo trước sớm nhất 1 h có_khi còn báo sau khi kết_thúc buổi học trong khi nhiều bạn đã đang ngồi trên xe bus đến trường rồi làm_sao cập_nhật thông_tin kịp|0
tài_liệu học_tập phong_phú|2
thầy tận_tâm nhiệt_huyết có khả_năng truyền_đạt kiến_thức tới sinh_viên rất tốt mang tính thực_tiễn cao|2
cô vui_vẻ thân_thiện giáo_trình giảng_dạy hay và phù_hợp|2
viết lên bảng nhiều quá|0
giảng_viên rất nhiệt_tình_phần kiến_thức giảng_dạy cũng rất mới và thú_vị|2
không có tinh_thần giảng_dạy|0
kết_quả môn thực_hành thì rất tốt nhưng ở môn lý_thuyết thì ngược lại|0
thầy dạy rất nhiệt_tình dễ hiểu|2
thang điểm của đề thi cuối kỳ không hợp_lý đề 4 câu nhưng nếu làm đúng hết 3 câu 1 2 và 4 vẫn chưa được 50 số điểm|0
everything|1
thầy nói_nhỏ quá colonsmile|2
giảng_viên quan_tâm trực_tiếp đến sinh_viên|2
giảng_viên không dành nhiều thời_gian ôn_tập cho sinh_viên|0
giảng_viên truyền_đạt kiến_thức hiệu_quả|2
like y|2
giáo_viên hiền vui_tính|2
theo em thì thời_lượng môn_học quá dài và liên_tục khiến mệt_mỏi và không tập_trung học tốt được|0
theo em nghĩ là sẽ ứng_dụng thực_tế được và nhiều vì viễn_thông vệ_tinh của nước mình cũng đang phát_triển chỉ là môn này chưa đi sâu vào lĩnh vựa này nên làm chúng_em bị mơ_hồ chưa nắm được trọng_tâm môn_học|0
tận tình thân_thiện|2
môn_học mang tính thực_tiễn cao|2
vui_vẻ tận_tình rất hữu_ích|2
thầy truyền_đạt dễ hiểu dễ nhớ|2
giảng_viên dạy rất chuyên_tâm dễ hiểu|2
cô nhiệt_tình tận_tâm|2
hay và sáng_tạo|2
thầy giảng rất dễ hiểu ngắn_gọn xúc tích có ôn_tập cho sinh_viên|2
thầy dạy vui tạo hứng_thú cho môn_học|2
thầy nói rất dễ_nghe dễ hiểu|2
bỏ thi lý_thuyết cuối kỳ do làm đồ_án tốn khá nhiều thời_gian|0
hướng_dẫn sinh_viên tận_tình|2
giảng_viên giảng bài dễ hiểu áp_dụng làm bài được ngay|2
dạy kỹ hơn xíu|0
vui_vẻ nhiệt_tình|2
thầy luôn khuyến_khích tính tự_lập và sự_thực_tế trong công_việc|2
thầy nên trao_đổi với sinh_viên và có những thông_báo nhắc_nhở chính_xác cụ_thể hơn|0
bài giảng dễ hiểu|2
cô dạy khó hiểu và nhàm_chán|0
giảng_viên rất dễ gần và nhiệt_tình chỉ bảo cho sinh_viên|2
giảng_viên đảm_bảo giờ lên lớp tích_cực trong quá_trình giảng_dạy và trả_lời câu hỏi giảng_viên khá vui tinh|2
không_thể nộp bài viết luận qua email mà vẫn phải nộp bài bằng giấy viết_tay khá mất thời_gian|0
chưa có diễn_đàn trên courses để sinh_viên có_thể hỏi|0
cô rất vui_vẻ nhẹ_nhàng nhưng vẫn nghiêm_túc trong quá_trình giảng_dạy không gây áp_lực cho sinh_viên|2
giảng_viên nhiệt_tình tâm_huyết tương_tác nhiều với sinh_viên|2
chúng em nhận được nhiều hơn thế|0
giảng_viên còn nói nhiều chuyện ngoài_lề|0
giảng_viên nên giảng kỹ từng vấn_đề|0
dạy nhanh dẫn đến nhiều lúc khó hiểu|0
bỏ_qua những phần của những môn khác như báo_cáo hoặc những phần thứ_yếu như làm poster youtube giới_thiệu về đồ_án như một sản_phẩm công_nghệ thực_sự|0
slide trình_chiếu đã quá cũ không cập_nhật thông_tin mới|0
nên sử_dụng phấn bảng hơn slide|0
khi sinh_viên có thắc_mắc về bài_tập thì giáo_viên chỉ_dẫn tận_tình dễ hiểu|2
thầy không hiểu nhưng với em thấy buồn cho kết_quả của môn_học này kết_quả không phải là điểm thưa thầy kết_quả mà em muốn được là khả_năng nhận_thức bản_thân qua môn này được thầy giảng_dạy|0
giảng_dạy tận_tình và chu_đáo|2
nên học thực_hành thường_xuyên hơn không học cách tuần|2
thầy rất hiền dạy nhiệt_tình giảng dễ hiểu|2
thầy cần xem trước tài_liệu ở nhà|0
giờ học bắt_đầu muộn|0
các tiết học chưa được sinh_động không hấp_dẫn được sinh_viên có nhiều sự buồn chán|0
vì lịch học giảng_viên đưa ra không phù_hợp với thời_khóa_biểu của em nhưng có_lẽ sẽ phù_hợp với một_số bạn khác|0
giảng_viên thực_hành không hài_lòng khi em không biết chút gì về bài thực_hành số 4 nhưng em đâu có cơ_hội nào để biết về chúng trước|0
nhiệt_tình hài_hước|2
thầy giảng bài hấp_dẫn|2
cực hay|2
thầy đem nhiều kiến_thức thực_tế vào bài giảng|2
nhìn có_vẻ khó_chịu nhưng thầy rất dễ_chịu y|2
giảng_viên vui_vẻ hòa_đồng tận_tâm với sinh_viên truyền_đạt kiến_thức tốt|2
giáo_trình có_vẻ cứng_nhắc khó tiếp_thu gây chán_nản|0
nhiệt_tình tui khá làm_khó học_sinh nhưng thế học_sinh mới học|2
tuy_nhiên thái_độ của sinh_viên trường uit với môn_học này làm tôi rất rất thất_vọng|0
môn này là môn_học mới vì_vậy cô chưa có đủ kiến_thức để truyền_tải hỗ_trợ tốt tới sinh_viên|0
giảng_viên giảng bài dễ hiểu có đưa ra ví_dụ minh_họa|2
giải_thích các vấn_đề trong bài giảng chưa hay khó hiểu|0
phòng thực_hành còn thiếu máy cho một lớp sinh_viên chất_lượng máy không đảm_bảo đôi khi không làm theo hướng_dẫn được vì máy bị hỏng|0
thầy giảng hay và tạo hứng_thú cho sinh_viên|2
những chủ_đề khía_cạnh về tiếng anh phải được cho để sinh_viên tìm_hiểu|0
